,Customer_ID,City,Work_Status,Gender,Coverage_Type,Accessbility,Vehicle_Type,Monthly_Premium,Open_Policies,Renew_Offer_Type,Vehicle_Age_In_Years,Weeks_Since_Claim
50,10000050,Denver,Employed,Male,Primary_Plan,Agents,SUV,208,2,1,3,4
51,10000051,Boston,Employed,Female,Primary_Plan,Website,SUV,212,2,1,2,77
52,10000052,Fairfield,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,138,2,4,3,17
53,10000053,Indianapolis,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,128,3,4,2,82
54,10000054,Boston,Disabled,Male,Premium_Plan,Direct Branch Contact,Sedan_4 Door,226,1,1,6,86
55,10000055,Tampa,Employed,Female,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,182,3,3,3,4
56,10000056,Boston,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,128,2,2,7,103
57,10000057,Tampa,Unemployed,Female,Primary_Plan,Customer_Call_Centre,SUV,202,1,1,3,125
58,10000058,Denver,Disabled,Female,Extended_Plan,Customer_Call_Centre,SUV,248,1,1,4,146
59,10000059,Denver,Disabled,Female,Premium_Plan,Agents,Sedan_4 Door,216,1,1,3,17
60,10000060,Tampa,Retired,Male,Primary_Plan,Agents,Sedan_4 Door,130,3,1,3,4
61,10000061,Boston,Medical Leave,Female,Premium_Plan,Customer_Call_Centre,Coupe_2 Door,210,6,1,3,17
62,10000062,Denver,Unemployed,Male,Extended_Plan,Agents,Coupe_2 Door,188,1,1,2,86
63,10000063,Boston,Employed,Female,Primary_Plan,Agents,SUV,200,2,1,3,0
64,10000064,Tampa,Unemployed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,126,2,3,2,90
65,10000065,Indianapolis,Employed,Male,Primary_Plan,Website,Sedan_4 Door,146,1,3,5,125
66,10000066,Denver,Employed,Female,Primary_Plan,Agents,SUV,224,3,1,3,30
67,10000067,Tampa,Employed,Female,Extended_Plan,Direct Branch Contact,Coupe_2 Door,194,2,4,3,22
68,10000068,Denver,Unemployed,Female,Extended_Plan,Customer_Call_Centre,Coupe_2 Door,190,5,1,2,56
69,10000069,Boston,Disabled,Female,Premium_Plan,Website,Sedan_4 Door,204,2,3,2,73
70,10000070,Denver,Employed,Male,Primary_Plan,Agents,SUV,226,2,4,5,73
71,10000071,Denver,Employed,Male,Primary_Plan,Website,Coupe_2 Door,130,1,2,6,125
72,10000072,Denver,Medical Leave,Male,Primary_Plan,Agents,Sedan_4 Door,128,1,1,3,4
73,10000073,Denver,Unemployed,Male,Primary_Plan,Agents,Sports Car,208,5,1,6,129
74,10000074,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Coupe_2 Door,130,9,2,3,22
75,10000075,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,146,2,2,6,116
76,10000076,Denver,Employed,Female,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,142,6,2,6,73
77,10000077,Fairfield,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,134,2,2,7,86
78,10000078,Indianapolis,Employed,Male,Extended_Plan,Agents,Sedan_4 Door,198,2,1,3,26
79,10000079,Boston,Employed,Male,Primary_Plan,Direct Branch Contact,Luxirious_Car,372,2,2,2,0
80,10000080,Boston,Unemployed,Female,Extended_Plan,Direct Branch Contact,Coupe_2 Door,154,2,3,8,86
81,10000081,Boston,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,148,8,2,2,99
82,10000082,Boston,Employed,Male,Primary_Plan,Direct Branch Contact,SUV,204,1,3,9,52
83,10000083,Fairfield,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,126,1,2,6,150
84,10000084,Denver,Disabled,Female,Extended_Plan,Agents,Sedan_4 Door,180,3,2,6,120
85,10000085,Indianapolis,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,132,2,1,2,64
86,10000086,Boston,Retired,Male,Extended_Plan,Agents,Sedan_4 Door,192,5,1,6,120
87,10000087,Boston,Employed,Female,Primary_Plan,Website,Sedan_4 Door,138,1,3,3,13
88,10000088,Denver,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,134,1,3,2,56
89,10000089,Boston,Employed,Male,Extended_Plan,Direct Branch Contact,Sedan_4 Door,152,4,1,5,64
90,10000090,Denver,Medical Leave,Male,Premium_Plan,Direct Branch Contact,Coupe_2 Door,238,2,2,6,90
91,10000091,Indianapolis,Employed,Female,Extended_Plan,Customer_Call_Centre,Coupe_2 Door,176,2,2,3,30
92,10000092,Denver,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,126,1,1,6,103
93,10000093,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Coupe_2 Door,134,1,1,2,99
94,10000094,Boston,Unemployed,Female,Extended_Plan,Agents,Sedan_4 Door,154,9,1,3,34
95,10000095,Denver,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,148,2,1,3,9
96,10000096,Tampa,Medical Leave,Female,Primary_Plan,Direct Branch Contact,SUV,218,9,1,7,52
97,10000097,Boston,Medical Leave,Male,Primary_Plan,Agents,Sedan_4 Door,124,8,1,6,125
98,10000098,Tampa,Employed,Female,Primary_Plan,Website,Sedan_4 Door,148,9,3,6,129
99,10000099,Denver,Employed,Male,Extended_Plan,Agents,Coupe_2 Door,152,7,1,3,47
100,10000100,Boston,Unemployed,Female,Primary_Plan,Agents,SUV,214,3,1,3,13
101,10000101,Boston,Unemployed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,140,1,1,6,103
102,10000102,Denver,Employed,Male,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,124,3,3,3,9
103,10000103,Boston,Employed,Male,Premium_Plan,Direct Branch Contact,Sedan_4 Door,214,1,2,3,39
104,10000104,Boston,Unemployed,Female,Extended_Plan,Website,SUV,260,4,1,6,120
105,10000105,Denver,Employed,Female,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,176,9,1,6,125
106,10000106,Boston,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,130,2,3,3,56
107,10000107,Denver,Unemployed,Male,Primary_Plan,Agents,SUV,234,3,1,3,22
108,10000108,Boston,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,148,9,1,5,73
109,10000109,Denver,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,124,1,4,3,22
110,10000110,Boston,Employed,Male,Extended_Plan,Agents,Sedan_4 Door,170,7,4,3,17
111,10000111,Indianapolis,Employed,Male,Extended_Plan,Website,Sedan_4 Door,196,8,2,8,69
112,10000112,Tampa,Employed,Male,Primary_Plan,Direct Branch Contact,SUV,218,7,2,1,82
113,10000113,Denver,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,132,2,1,2,69
114,10000114,Indianapolis,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,134,2,4,3,0
115,10000115,Boston,Unemployed,Male,Primary_Plan,Agents,SUV,204,3,1,3,47
116,10000116,Denver,Retired,Male,Extended_Plan,Agents,SUV,266,1,2,6,150
117,10000117,Tampa,Employed,Male,Extended_Plan,Direct Branch Contact,Coupe_2 Door,172,9,2,6,150
118,10000118,Boston,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,124,1,3,5,103
119,10000119,Boston,Employed,Female,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,156,1,2,3,43
120,10000120,Indianapolis,Unemployed,Male,Extended_Plan,Website,Coupe_2 Door,166,1,3,5,112
121,10000121,Boston,Employed,Male,Primary_Plan,Customer_Call_Centre,Sports Car,224,9,1,2,26
122,10000122,Denver,Employed,Female,Primary_Plan,Direct Branch Contact,Coupe_2 Door,136,7,3,2,73
123,10000123,Boston,Employed,Male,Primary_Plan,Website,Luxurious_SUV,384,3,3,2,39
124,10000124,Fairfield,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,126,1,1,2,73
125,10000125,Denver,Employed,Male,Premium_Plan,Customer_Call_Centre,Sedan_4 Door,226,2,1,3,43
126,10000126,Denver,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,156,1,2,2,86
127,10000127,Tampa,Employed,Male,Extended_Plan,Direct Branch Contact,Sedan_4 Door,194,1,1,5,125
128,10000128,Denver,Retired,Male,Primary_Plan,Website,Sedan_4 Door,132,2,2,2,56
129,10000129,Indianapolis,Unemployed,Female,Primary_Plan,Agents,Sedan_4 Door,138,2,2,3,39
130,10000130,Tampa,Employed,Male,Primary_Plan,Agents,Sports Car,218,1,1,4,60
131,10000131,Fairfield,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,148,8,1,6,60
132,10000132,Denver,Employed,Female,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,144,4,1,7,69
133,10000133,Tampa,Employed,Male,Premium_Plan,Agents,Sedan_4 Door,236,1,1,5,138
134,10000134,Tampa,Unemployed,Female,Primary_Plan,Website,Sedan_4 Door,148,2,1,8,64
135,10000135,Tampa,Unemployed,Male,Primary_Plan,Agents,SUV,234,1,1,3,26
136,10000136,Denver,Employed,Female,Primary_Plan,Direct Branch Contact,Sports Car,238,3,1,2,22
137,10000137,Indianapolis,Unemployed,Female,Primary_Plan,Agents,Sedan_4 Door,126,1,2,3,9
138,10000138,Denver,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,158,2,4,3,0
139,10000139,Tampa,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,178,2,3,4,86
140,10000140,Denver,Unemployed,Male,Primary_Plan,Website,Coupe_2 Door,148,1,4,3,30
141,10000141,Tampa,Employed,Male,Premium_Plan,Customer_Call_Centre,SUV,280,1,1,3,39
142,10000142,Boston,Unemployed,Female,Extended_Plan,Direct Branch Contact,Sports Car,254,6,3,5,129
143,10000143,Indianapolis,Employed,Male,Premium_Plan,Agents,SUV,336,1,3,5,120
144,10000144,Denver,Unemployed,Female,Extended_Plan,Agents,Sedan_4 Door,192,1,1,5,133
145,10000145,Fairfield,Employed,Male,Extended_Plan,Website,Sedan_4 Door,184,1,4,5,146
146,10000146,Boston,Unemployed,Female,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,144,2,1,3,30
147,10000147,Tampa,Employed,Female,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,134,4,1,5,103
148,10000148,Tampa,Employed,Female,Extended_Plan,Website,Sedan_4 Door,198,3,2,3,0
149,10000149,Denver,Unemployed,Male,Premium_Plan,Direct Branch Contact,Sedan_4 Door,210,1,1,3,13
150,10000150,Indianapolis,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,140,1,4,5,125
151,10000151,Indianapolis,Employed,Male,Primary_Plan,Agents,Sports Car,214,9,2,5,125
152,10000152,Tampa,Disabled,Male,Extended_Plan,Agents,SUV,252,1,4,3,47
153,10000153,Tampa,Medical Leave,Female,Extended_Plan,Direct Branch Contact,SUV,254,3,1,3,9
154,10000154,Boston,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,148,1,2,7,73
155,10000155,Boston,Employed,Male,Primary_Plan,Website,Sedan_4 Door,130,1,2,8,56
156,10000156,Denver,Employed,Male,Extended_Plan,Agents,Sedan_4 Door,184,1,3,7,120
157,10000157,Denver,Employed,Female,Extended_Plan,Agents,Sedan_4 Door,164,2,2,2,60
158,10000158,Tampa,Retired,Male,Primary_Plan,Agents,Sports Car,210,1,2,2,77
159,10000159,Tampa,Employed,Female,Primary_Plan,Website,Coupe_2 Door,128,2,1,2,60
160,10000160,Boston,Unemployed,Male,Primary_Plan,Agents,Coupe_2 Door,126,1,2,3,4
161,10000161,Indianapolis,Employed,Female,Primary_Plan,Agents,SUV,222,1,1,3,30
162,10000162,Boston,Unemployed,Female,Primary_Plan,Agents,SUV,236,4,1,2,60
163,10000163,Indianapolis,Retired,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,126,1,1,3,30
164,10000164,Boston,Unemployed,Male,Extended_Plan,Agents,Sedan_4 Door,154,2,1,2,64
165,10000165,Denver,Medical Leave,Male,Primary_Plan,Agents,Sedan_4 Door,136,2,1,2,52
166,10000166,Boston,Unemployed,Female,Primary_Plan,Agents,Sedan_4 Door,138,2,1,7,142
167,10000167,Boston,Unemployed,Female,Primary_Plan,Agents,Sedan_4 Door,122,7,1,2,73
168,10000168,Denver,Employed,Female,Extended_Plan,Agents,Sedan_4 Door,164,2,3,3,4
169,10000169,Boston,Unemployed,Female,Primary_Plan,Agents,Sedan_4 Door,148,2,1,3,47
170,10000170,Boston,Medical Leave,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,126,1,4,2,86
171,10000171,Denver,Disabled,Female,Premium_Plan,Agents,Sedan_4 Door,202,2,2,7,129
172,10000172,Fairfield,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,146,2,3,2,52
173,10000173,Fairfield,Unemployed,Female,Primary_Plan,Agents,Sedan_4 Door,122,1,3,3,22
174,10000174,Boston,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,148,8,2,10,99
175,10000175,Boston,Employed,Female,Primary_Plan,Customer_Call_Centre,Sports Car,234,1,2,7,103
176,10000176,Indianapolis,Employed,Female,Primary_Plan,Agents,SUV,224,1,2,3,4
177,10000177,Tampa,Employed,Female,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,148,8,2,3,13
178,10000178,Indianapolis,Unemployed,Female,Primary_Plan,Website,Coupe_2 Door,148,7,3,3,13
179,10000179,Boston,Employed,Female,Primary_Plan,Customer_Call_Centre,Sports Car,208,1,2,2,73
180,10000180,Boston,Unemployed,Female,Premium_Plan,Agents,Sedan_4 Door,230,2,1,2,52
181,10000181,Fairfield,Employed,Female,Extended_Plan,Direct Branch Contact,Luxirious_Car,434,4,3,4,17
182,10000182,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,124,3,2,7,120
183,10000183,Fairfield,Employed,Male,Extended_Plan,Agents,Sedan_4 Door,170,2,4,1,99
184,10000184,Boston,Unemployed,Male,Primary_Plan,Agents,SUV,220,1,1,3,13
185,10000185,Boston,Employed,Female,Primary_Plan,Customer_Call_Centre,SUV,222,2,3,3,47
186,10000186,Boston,Employed,Female,Primary_Plan,Direct Branch Contact,SUV,228,1,2,7,112
187,10000187,Tampa,Employed,Female,Extended_Plan,Agents,SUV,276,1,2,2,86
188,10000188,Boston,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,152,1,3,3,13
189,10000189,Denver,Employed,Male,Extended_Plan,Direct Branch Contact,Sedan_4 Door,164,7,3,3,22
190,10000190,Boston,Employed,Male,Primary_Plan,Website,SUV,222,1,4,2,52
191,10000191,Boston,Unemployed,Female,Primary_Plan,Direct Branch Contact,Coupe_2 Door,138,1,4,3,22
192,10000192,Boston,Employed,Male,Primary_Plan,Direct Branch Contact,Coupe_2 Door,140,1,2,7,116
193,10000193,Denver,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,134,2,4,3,30
194,10000194,Tampa,Unemployed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,126,2,1,3,26
195,10000195,Indianapolis,Employed,Female,Extended_Plan,Agents,Sedan_4 Door,162,1,1,3,47
196,10000196,Denver,Employed,Male,Premium_Plan,Website,Luxurious_SUV,510,1,4,2,52
197,10000197,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,134,1,1,3,13
198,10000198,Indianapolis,Unemployed,Female,Extended_Plan,Direct Branch Contact,Coupe_2 Door,192,2,3,2,52
199,10000199,Boston,Employed,Male,Extended_Plan,Direct Branch Contact,Sedan_4 Door,152,4,1,2,64
200,10000200,Boston,Disabled,Female,Premium_Plan,Customer_Call_Centre,SUV,300,3,1,7,129
201,10000201,Fairfield,Retired,Female,Extended_Plan,Agents,SUV,246,1,1,3,4
202,10000202,Tampa,Employed,Female,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,138,1,2,3,17
203,10000203,Boston,Unemployed,Male,Primary_Plan,Agents,SUV,226,7,1,2,86
204,10000204,Boston,Unemployed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,126,7,1,3,0
205,10000205,Boston,Unemployed,Male,Primary_Plan,Agents,SUV,232,2,1,4,60
206,10000206,Boston,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,144,1,2,10,69
207,10000207,Boston,Employed,Male,Premium_Plan,Direct Branch Contact,SUV,380,3,1,2,56
208,10000208,Denver,Employed,Female,Primary_Plan,Agents,SUV,232,3,2,3,43
209,10000209,Indianapolis,Employed,Female,Extended_Plan,Website,Sedan_4 Door,156,3,3,3,64
210,10000210,Boston,Employed,Male,Extended_Plan,Agents,Coupe_2 Door,196,1,2,7,52
211,10000211,Boston,Retired,Male,Primary_Plan,Agents,Sedan_4 Door,134,5,1,7,120
212,10000212,Indianapolis,Employed,Male,Extended_Plan,Website,Coupe_2 Door,190,2,2,3,17
213,10000213,Boston,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,140,3,1,3,9
214,10000214,Tampa,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,148,1,4,3,30
215,10000215,Denver,Employed,Female,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,170,3,4,3,26
216,10000216,Denver,Employed,Male,Premium_Plan,Agents,Sports Car,318,1,4,9,86
217,10000217,Denver,Disabled,Female,Extended_Plan,Agents,Coupe_2 Door,168,6,1,3,4
218,10000218,Indianapolis,Unemployed,Female,Primary_Plan,Website,Sports Car,224,3,1,3,52
219,10000219,Boston,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,144,1,2,2,82
220,10000220,Denver,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,148,3,3,3,4
221,10000221,Boston,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,138,8,1,3,4
222,10000222,Fairfield,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,144,9,1,3,39
223,10000223,Indianapolis,Employed,Male,Extended_Plan,Direct Branch Contact,Coupe_2 Door,166,7,2,7,129
224,10000224,Denver,Disabled,Female,Primary_Plan,Customer_Call_Centre,SUV,206,2,2,2,99
225,10000225,Denver,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,154,5,3,3,30
226,10000226,Fairfield,Unemployed,Male,Primary_Plan,Direct Branch Contact,Coupe_2 Door,148,9,1,3,9
227,10000227,Fairfield,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,130,1,2,5,64
228,10000228,Tampa,Employed,Male,Primary_Plan,Agents,SUV,228,9,1,6,56
229,10000229,Boston,Disabled,Male,Primary_Plan,Agents,Sedan_4 Door,132,9,1,3,34
230,10000230,Tampa,Unemployed,Female,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,146,5,1,2,77
231,10000231,Tampa,Employed,Male,Primary_Plan,Agents,Coupe_2 Door,128,2,2,3,43
232,10000232,Tampa,Employed,Male,Extended_Plan,Agents,Sedan_4 Door,180,2,1,2,77
233,10000233,Denver,Unemployed,Female,Premium_Plan,Website,SUV,304,1,1,2,52
234,10000234,Tampa,Unemployed,Male,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,136,8,3,3,82
235,10000235,Boston,Employed,Male,Primary_Plan,Direct Branch Contact,Coupe_2 Door,146,8,1,3,13
236,10000236,Boston,Employed,Female,Primary_Plan,Website,Sedan_4 Door,126,2,1,5,52
237,10000237,Indianapolis,Employed,Male,Extended_Plan,Direct Branch Contact,SUV,272,3,2,3,34
238,10000238,Indianapolis,Unemployed,Male,Primary_Plan,Agents,Sedan_4 Door,122,1,2,6,77
239,10000239,Indianapolis,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,126,1,2,3,30
240,10000240,Fairfield,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,132,3,2,2,77
241,10000241,Tampa,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,134,2,3,2,95
242,10000242,Denver,Unemployed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,128,4,1,2,56
243,10000243,Boston,Employed,Male,Extended_Plan,Website,Coupe_2 Door,168,5,2,3,26
244,10000244,Boston,Unemployed,Female,Extended_Plan,Agents,Coupe_2 Door,182,1,1,3,9
245,10000245,Boston,Disabled,Male,Extended_Plan,Agents,Coupe_2 Door,172,1,3,3,26
246,10000246,Tampa,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,128,3,4,3,17
247,10000247,Tampa,Unemployed,Female,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,162,2,4,3,13
248,10000248,Denver,Unemployed,Male,Extended_Plan,Direct Branch Contact,Luxurious_SUV,490,1,1,6,146
249,10000249,Boston,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,134,2,1,2,56
250,10000250,Tampa,Retired,Female,Premium_Plan,Website,Coupe_2 Door,216,1,3,2,56
251,10000251,Fairfield,Employed,Female,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,140,2,1,6,150
252,10000252,Tampa,Employed,Male,Primary_Plan,Customer_Call_Centre,SUV,218,8,1,2,56
253,10000253,Indianapolis,Retired,Female,Primary_Plan,Agents,SUV,212,3,1,6,108
254,10000254,Denver,Employed,Male,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,154,3,4,2,90
255,10000255,Fairfield,Retired,Male,Extended_Plan,Agents,SUV,266,1,2,6,150
256,10000256,Denver,Employed,Female,Extended_Plan,Agents,SUV,270,4,1,3,22
257,10000257,Boston,Employed,Female,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,126,4,2,2,77
258,10000258,Indianapolis,Employed,Male,Extended_Plan,Direct Branch Contact,Sedan_4 Door,168,2,3,3,9
259,10000259,Denver,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,130,1,1,6,129
260,10000260,Boston,Unemployed,Male,Primary_Plan,Agents,Sedan_4 Door,124,2,1,6,138
261,10000261,Boston,Employed,Female,Primary_Plan,Website,Sedan_4 Door,128,5,1,3,9
262,10000262,Tampa,Medical Leave,Female,Primary_Plan,Website,Sedan_4 Door,136,2,1,6,120
263,10000263,Tampa,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,134,4,2,1,99
264,10000264,Boston,Employed,Male,Extended_Plan,Agents,Sedan_4 Door,166,6,1,2,73
