,city,type_of_plan,highest_level_education,work_status,gender,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew_Offer_Type,reachability,type_of_vehicle,churn
85,Tamale,primary_plan,High School or Below,Employed,male,Married,132,64,2,1,customer_call_centre,4-door_car,No
86,Accra,extended_plan,College,Retired,male,Married,192,120,5,1,contacting_agent,4-door_car,Yes
87,Accra,primary_plan,Bachelor,Employed,female,Married,138,13,1,3,via_the_web,4-door_car,No
88,Kumasi,primary_plan,Bachelor,Employed,female,Divorced,134,56,1,3,contacting_branch_directly,4-door_car,No
89,Accra,extended_plan,College,Employed,male,Married,152,64,4,1,contacting_branch_directly,4-door_car,Yes
90,Kumasi,premium_plan,College,Medical Leave,male,Married,238,90,2,2,contacting_branch_directly,2-door_car,No
91,Tamale,extended_plan,Bachelor,Employed,female,Married,176,30,2,2,customer_call_centre,2-door_car,Yes
92,Kumasi,primary_plan,Bachelor,Employed,female,Married,126,103,1,1,contacting_agent,4-door_car,No
93,Kumasi,primary_plan,Bachelor,Employed,male,Married,134,99,1,1,contacting_branch_directly,2-door_car,No
94,Accra,extended_plan,High School or Below,Unemployed,female,Single,154,34,9,1,contacting_agent,4-door_car,No
95,Kumasi,primary_plan,Bachelor,Employed,female,Married,148,9,2,1,contacting_branch_directly,4-door_car,No
96,Takoradi,primary_plan,Master,Medical Leave,female,Married,218,52,9,1,contacting_branch_directly,SUV,No
97,Accra,primary_plan,Bachelor,Medical Leave,male,Married,124,125,8,1,contacting_agent,4-door_car,No
98,Takoradi,primary_plan,Bachelor,Employed,female,Married,148,129,9,3,via_the_web,4-door_car,No
99,Kumasi,extended_plan,College,Employed,male,Married,152,47,7,1,contacting_agent,2-door_car,No
100,Accra,primary_plan,College,Unemployed,female,Married,214,13,3,1,contacting_agent,SUV,Yes
101,Accra,primary_plan,College,Unemployed,male,Single,140,103,1,1,contacting_branch_directly,4-door_car,Yes
102,Kumasi,primary_plan,Bachelor,Employed,male,Single,124,9,3,3,customer_call_centre,2-door_car,No
103,Accra,premium_plan,College,Employed,male,Married,214,39,1,2,contacting_branch_directly,4-door_car,Yes
104,Accra,extended_plan,High School or Below,Unemployed,female,Single,260,120,4,1,via_the_web,SUV,No
105,Kumasi,extended_plan,Bachelor,Employed,female,Married,176,125,9,1,customer_call_centre,4-door_car,No
106,Accra,primary_plan,Bachelor,Employed,female,Married,130,56,2,3,contacting_branch_directly,4-door_car,No
107,Kumasi,primary_plan,High School or Below,Unemployed,male,Married,234,22,3,1,contacting_agent,SUV,No
108,Accra,primary_plan,Bachelor,Employed,female,Married,148,73,9,1,contacting_agent,2-door_car,No
109,Kumasi,primary_plan,College,Employed,male,Married,124,22,1,4,contacting_agent,4-door_car,No
110,Accra,extended_plan,College,Employed,male,Married,170,17,7,4,contacting_agent,4-door_car,No
111,Tamale,extended_plan,High School or Below,Employed,male,Divorced,196,69,8,2,via_the_web,4-door_car,No
112,Takoradi,primary_plan,College,Employed,male,Married,218,82,7,2,contacting_branch_directly,SUV,No
113,Kumasi,primary_plan,Bachelor,Employed,male,Single,132,69,2,1,contacting_agent,4-door_car,No
114,Tamale,primary_plan,High School or Below,Employed,male,Married,134,0,2,4,contacting_branch_directly,4-door_car,No
115,Accra,primary_plan,High School or Below,Unemployed,male,Married,204,47,3,1,contacting_agent,SUV,No
116,Kumasi,extended_plan,High School or Below,Retired,male,Divorced,266,150,1,2,contacting_agent,SUV,Yes
117,Takoradi,extended_plan,High School or Below,Employed,male,Married,172,150,9,2,contacting_branch_directly,2-door_car,No
118,Accra,primary_plan,Bachelor,Employed,female,Single,124,103,1,3,contacting_agent,2-door_car,No
119,Accra,extended_plan,College,Employed,female,Married,156,43,1,2,customer_call_centre,4-door_car,No
120,Tamale,extended_plan,College,Unemployed,male,Married,166,112,1,3,via_the_web,2-door_car,No
121,Accra,primary_plan,Bachelor,Employed,male,Married,224,26,9,1,customer_call_centre,Sports Car,No
122,Kumasi,primary_plan,High School or Below,Employed,female,Married,136,73,7,3,contacting_branch_directly,2-door_car,No
123,Accra,primary_plan,High School or Below,Employed,male,Single,384,39,3,3,via_the_web,luxurious_suv,No
124,Cape_coast,primary_plan,Bachelor,Employed,female,Married,126,73,1,1,contacting_agent,4-door_car,No
125,Kumasi,premium_plan,College,Employed,male,Divorced,226,43,2,1,customer_call_centre,4-door_car,No
126,Kumasi,extended_plan,Master,Employed,female,Single,156,86,1,2,contacting_branch_directly,4-door_car,No
127,Takoradi,extended_plan,College,Employed,male,Married,194,125,1,1,contacting_branch_directly,4-door_car,No
128,Kumasi,primary_plan,College,Retired,male,Divorced,132,56,2,2,via_the_web,4-door_car,Yes
129,Tamale,primary_plan,Master,Unemployed,female,Married,138,39,2,2,contacting_agent,4-door_car,No
130,Takoradi,primary_plan,High School or Below,Employed,male,Married,218,60,1,1,contacting_agent,Sports Car,No
131,Cape_coast,primary_plan,Bachelor,Employed,female,Married,148,60,8,1,contacting_branch_directly,4-door_car,No
132,Kumasi,primary_plan,Bachelor,Employed,female,Married,144,69,4,1,customer_call_centre,4-door_car,No
133,Takoradi,premium_plan,College,Employed,male,Married,236,138,1,1,contacting_agent,4-door_car,No
134,Takoradi,primary_plan,High School or Below,Unemployed,female,Single,148,64,2,1,via_the_web,4-door_car,No
135,Takoradi,primary_plan,High School or Below,Unemployed,male,Single,234,26,1,1,contacting_agent,SUV,No
136,Kumasi,primary_plan,High School or Below,Employed,female,Married,238,22,3,1,contacting_branch_directly,Sports Car,No
137,Tamale,primary_plan,College,Unemployed,female,Single,126,9,1,2,contacting_agent,4-door_car,No
138,Kumasi,extended_plan,College,Employed,female,Married,158,0,2,4,contacting_branch_directly,4-door_car,No
139,Takoradi,extended_plan,Bachelor,Employed,female,Single,178,86,2,3,contacting_branch_directly,4-door_car,No
140,Kumasi,primary_plan,College,Unemployed,male,Single,148,30,1,4,via_the_web,2-door_car,No
141,Takoradi,premium_plan,Master,Employed,male,Married,280,39,1,1,customer_call_centre,SUV,No
142,Accra,extended_plan,High School or Below,Unemployed,female,Single,254,129,6,3,contacting_branch_directly,Sports Car,No
143,Tamale,premium_plan,High School or Below,Employed,male,Married,336,120,1,3,contacting_agent,SUV,No
144,Kumasi,extended_plan,High School or Below,Unemployed,female,Married,192,133,1,1,contacting_agent,4-door_car,Yes
145,Cape_coast,extended_plan,Bachelor,Employed,male,Married,184,146,1,4,via_the_web,4-door_car,No
146,Accra,primary_plan,College,Unemployed,female,Married,144,30,2,1,customer_call_centre,4-door_car,No
147,Takoradi,primary_plan,Bachelor,Employed,female,Divorced,134,103,4,1,customer_call_centre,2-door_car,No
148,Takoradi,extended_plan,High School or Below,Employed,female,Married,198,0,3,2,via_the_web,4-door_car,No
149,Kumasi,premium_plan,College,Unemployed,male,Married,210,13,1,1,contacting_branch_directly,4-door_car,Yes
150,Tamale,primary_plan,Bachelor,Employed,male,Single,140,125,1,4,contacting_branch_directly,4-door_car,No
151,Tamale,primary_plan,High School or Below,Employed,male,Married,214,125,9,2,contacting_agent,Sports Car,Yes
152,Takoradi,extended_plan,High School or Below,Disabled,male,Married,252,47,1,4,contacting_agent,SUV,No
153,Takoradi,extended_plan,Bachelor,Medical Leave,female,Married,254,9,3,1,contacting_branch_directly,SUV,No
154,Accra,primary_plan,Bachelor,Employed,female,Single,148,73,1,2,contacting_branch_directly,4-door_car,No
155,Accra,primary_plan,High School or Below,Employed,male,Married,130,56,1,2,via_the_web,4-door_car,No
156,Kumasi,extended_plan,College,Employed,male,Single,184,120,1,3,contacting_agent,4-door_car,No
157,Kumasi,extended_plan,Bachelor,Employed,female,Married,164,60,2,2,contacting_agent,4-door_car,No
158,Takoradi,primary_plan,College,Retired,male,Married,210,77,1,2,contacting_agent,Sports Car,Yes
159,Takoradi,primary_plan,Bachelor,Employed,female,Married,128,60,2,1,via_the_web,2-door_car,No
160,Accra,primary_plan,High School or Below,Unemployed,male,Married,126,4,1,2,contacting_agent,2-door_car,No
161,Tamale,primary_plan,College,Employed,female,Married,222,30,1,1,contacting_agent,SUV,No
162,Accra,primary_plan,College,Unemployed,female,Divorced,236,60,4,1,contacting_agent,SUV,Yes
163,Tamale,primary_plan,Bachelor,Retired,female,Single,126,30,1,1,contacting_branch_directly,4-door_car,Yes
164,Accra,extended_plan,Bachelor,Unemployed,male,Single,154,64,2,1,contacting_agent,4-door_car,No
165,Kumasi,primary_plan,Master,Medical Leave,male,Married,136,52,2,1,contacting_agent,4-door_car,No
166,Accra,primary_plan,Bachelor,Unemployed,female,Single,138,142,2,1,contacting_agent,4-door_car,No
167,Accra,primary_plan,High School or Below,Unemployed,female,Single,122,73,7,1,contacting_agent,4-door_car,Yes
168,Kumasi,extended_plan,High School or Below,Employed,female,Divorced,164,4,2,3,contacting_agent,4-door_car,No
169,Accra,primary_plan,High School or Below,Unemployed,female,Married,148,47,2,1,contacting_agent,4-door_car,No
170,Accra,primary_plan,College,Medical Leave,male,Married,126,86,1,4,contacting_branch_directly,4-door_car,No
171,Kumasi,premium_plan,Doctor,Disabled,female,Divorced,202,129,2,2,contacting_agent,4-door_car,No
172,Cape_coast,primary_plan,College,Employed,female,Divorced,146,52,2,3,contacting_agent,4-door_car,No
173,Cape_coast,primary_plan,College,Unemployed,female,Married,122,22,1,3,contacting_agent,4-door_car,No
174,Accra,primary_plan,High School or Below,Employed,male,Single,148,99,8,2,customer_call_centre,4-door_car,Yes
175,Accra,primary_plan,Bachelor,Employed,female,Married,234,103,1,2,customer_call_centre,Sports Car,No
176,Tamale,primary_plan,College,Employed,female,Married,224,4,1,2,contacting_agent,SUV,No
177,Takoradi,primary_plan,Bachelor,Employed,female,Married,148,13,8,2,customer_call_centre,2-door_car,No
178,Tamale,primary_plan,College,Unemployed,female,Single,148,13,7,3,via_the_web,2-door_car,No
179,Accra,primary_plan,Bachelor,Employed,female,Divorced,208,73,1,2,customer_call_centre,Sports Car,No
180,Accra,premium_plan,Bachelor,Unemployed,female,Married,230,52,2,1,contacting_agent,4-door_car,No
181,Cape_coast,extended_plan,Bachelor,Employed,female,Married,434,17,4,3,contacting_branch_directly,luxirious_car,No
182,Kumasi,primary_plan,High School or Below,Employed,male,Married,124,120,3,2,contacting_branch_directly,4-door_car,No
183,Cape_coast,extended_plan,Bachelor,Employed,male,Single,170,99,2,4,contacting_agent,4-door_car,No
184,Accra,primary_plan,Bachelor,Unemployed,male,Single,220,13,1,1,contacting_agent,SUV,No
185,Accra,primary_plan,High School or Below,Employed,female,Single,222,47,2,3,customer_call_centre,SUV,No
186,Accra,primary_plan,College,Employed,female,Single,228,112,1,2,contacting_branch_directly,SUV,No
187,Takoradi,extended_plan,Bachelor,Employed,female,Married,276,86,1,2,contacting_agent,SUV,Yes
188,Accra,extended_plan,Bachelor,Employed,female,Single,152,13,1,3,contacting_branch_directly,4-door_car,No
189,Kumasi,extended_plan,College,Employed,male,Married,164,22,7,3,contacting_branch_directly,4-door_car,No
190,Accra,primary_plan,Master,Employed,male,Married,222,52,1,4,via_the_web,SUV,No
191,Accra,primary_plan,High School or Below,Unemployed,female,Single,138,22,1,4,contacting_branch_directly,2-door_car,No
192,Accra,primary_plan,Bachelor,Employed,male,Married,140,116,1,2,contacting_branch_directly,2-door_car,No
193,Kumasi,primary_plan,Bachelor,Employed,female,Married,134,30,2,4,contacting_agent,2-door_car,No
194,Takoradi,primary_plan,High School or Below,Unemployed,female,Divorced,126,26,2,1,contacting_branch_directly,4-door_car,No
195,Tamale,extended_plan,Bachelor,Employed,female,Married,162,47,1,1,contacting_agent,4-door_car,No
196,Kumasi,premium_plan,High School or Below,Employed,male,Single,510,52,1,4,via_the_web,luxurious_suv,No
197,Kumasi,primary_plan,Bachelor,Employed,male,Single,134,13,1,1,contacting_branch_directly,4-door_car,No
198,Tamale,extended_plan,High School or Below,Unemployed,female,Single,192,52,2,3,contacting_branch_directly,2-door_car,No
199,Accra,extended_plan,College,Employed,male,Married,152,64,4,1,contacting_branch_directly,4-door_car,Yes
200,Accra,premium_plan,Master,Disabled,female,Single,300,129,3,1,customer_call_centre,SUV,No
201,Cape_coast,extended_plan,Bachelor,Retired,female,Single,246,4,1,1,contacting_agent,SUV,Yes
202,Takoradi,primary_plan,High School or Below,Employed,female,Married,138,17,1,2,customer_call_centre,4-door_car,No
203,Accra,primary_plan,College,Unemployed,male,Single,226,86,7,1,contacting_agent,SUV,No
204,Accra,primary_plan,High School or Below,Unemployed,male,Single,126,0,7,1,customer_call_centre,4-door_car,No
205,Accra,primary_plan,College,Unemployed,male,Single,232,60,2,1,contacting_agent,SUV,No
206,Accra,primary_plan,College,Employed,female,Married,144,69,1,2,contacting_branch_directly,4-door_car,No
207,Accra,premium_plan,College,Employed,male,Married,380,56,3,1,contacting_branch_directly,SUV,No
208,Kumasi,primary_plan,High School or Below,Employed,female,Divorced,232,43,3,2,contacting_agent,SUV,No
209,Tamale,extended_plan,Bachelor,Employed,female,Married,156,64,3,3,via_the_web,4-door_car,No
210,Accra,extended_plan,High School or Below,Employed,male,Single,196,52,1,2,contacting_agent,2-door_car,No
211,Accra,primary_plan,College,Retired,male,Single,134,120,5,1,contacting_agent,4-door_car,Yes
212,Tamale,extended_plan,College,Employed,male,Married,190,17,2,2,via_the_web,2-door_car,No
213,Accra,primary_plan,High School or Below,Employed,female,Single,140,9,3,1,contacting_agent,4-door_car,No
214,Takoradi,primary_plan,College,Employed,male,Divorced,148,30,1,4,contacting_agent,4-door_car,No
215,Kumasi,extended_plan,College,Employed,female,Married,170,26,3,4,customer_call_centre,4-door_car,No
216,Kumasi,premium_plan,College,Employed,male,Married,318,86,1,4,contacting_agent,Sports Car,No
217,Kumasi,extended_plan,High School or Below,Disabled,female,Married,168,4,6,1,contacting_agent,2-door_car,Yes
218,Tamale,primary_plan,High School or Below,Unemployed,female,Divorced,224,52,3,1,via_the_web,Sports Car,Yes
219,Accra,primary_plan,College,Employed,male,Married,144,82,1,2,contacting_branch_directly,4-door_car,No
220,Kumasi,primary_plan,Bachelor,Employed,female,Married,148,4,3,3,contacting_branch_directly,4-door_car,No
221,Accra,primary_plan,Bachelor,Employed,male,Divorced,138,4,8,1,customer_call_centre,4-door_car,No
222,Cape_coast,primary_plan,High School or Below,Employed,male,Divorced,144,39,9,1,customer_call_centre,4-door_car,No
223,Tamale,extended_plan,High School or Below,Employed,male,Single,166,129,7,2,contacting_branch_directly,2-door_car,Yes
224,Kumasi,primary_plan,College,Disabled,female,Married,206,99,2,2,customer_call_centre,SUV,No
225,Kumasi,extended_plan,College,Employed,female,Married,154,30,5,3,contacting_branch_directly,4-door_car,No
226,Cape_coast,primary_plan,College,Unemployed,male,Single,148,9,9,1,contacting_branch_directly,2-door_car,No
227,Cape_coast,primary_plan,High School or Below,Employed,female,Single,130,64,1,2,contacting_agent,4-door_car,Yes
228,Takoradi,primary_plan,High School or Below,Employed,male,Married,228,56,9,1,contacting_agent,SUV,No
229,Accra,primary_plan,Bachelor,Disabled,male,Married,132,34,9,1,contacting_agent,4-door_car,No
230,Takoradi,primary_plan,Bachelor,Unemployed,female,Married,146,77,5,1,customer_call_centre,4-door_car,Yes
231,Takoradi,primary_plan,College,Employed,male,Single,128,43,2,2,contacting_agent,2-door_car,Yes
232,Takoradi,extended_plan,High School or Below,Employed,male,Married,180,77,2,1,contacting_agent,4-door_car,No
233,Kumasi,premium_plan,Bachelor,Unemployed,female,Married,304,52,1,1,via_the_web,SUV,No
234,Takoradi,primary_plan,High School or Below,Unemployed,male,Married,136,82,8,3,customer_call_centre,2-door_car,No
235,Accra,primary_plan,Bachelor,Employed,male,Married,146,13,8,1,contacting_branch_directly,2-door_car,No
236,Accra,primary_plan,Bachelor,Employed,female,Married,126,52,2,1,via_the_web,4-door_car,No
237,Tamale,extended_plan,College,Employed,male,Divorced,272,34,3,2,contacting_branch_directly,SUV,No
238,Tamale,primary_plan,College,Unemployed,male,Single,122,77,1,2,contacting_agent,4-door_car,No
239,Tamale,primary_plan,Bachelor,Employed,female,Single,126,30,1,2,contacting_agent,4-door_car,No
240,Cape_coast,primary_plan,High School or Below,Employed,female,Married,132,77,3,2,contacting_agent,2-door_car,No
241,Takoradi,primary_plan,College,Employed,female,Married,134,95,2,3,contacting_agent,4-door_car,No
242,Kumasi,primary_plan,College,Unemployed,female,Divorced,128,56,4,1,contacting_branch_directly,4-door_car,No
243,Accra,extended_plan,College,Employed,male,Married,168,26,5,2,via_the_web,2-door_car,No
244,Accra,extended_plan,College,Unemployed,female,Single,182,9,1,1,contacting_agent,2-door_car,No
245,Accra,extended_plan,Bachelor,Disabled,male,Divorced,172,26,1,3,contacting_agent,2-door_car,No
246,Takoradi,primary_plan,Bachelor,Employed,female,Divorced,128,17,3,4,contacting_agent,4-door_car,No
247,Takoradi,extended_plan,High School or Below,Unemployed,female,Married,162,13,2,4,customer_call_centre,4-door_car,No
248,Kumasi,extended_plan,Bachelor,Unemployed,male,Single,490,146,1,1,contacting_branch_directly,luxurious_suv,No
249,Accra,primary_plan,Master,Employed,male,Married,134,56,2,1,customer_call_centre,4-door_car,No
250,Takoradi,premium_plan,High School or Below,Retired,female,Divorced,216,56,1,3,via_the_web,2-door_car,No
251,Cape_coast,primary_plan,Bachelor,Employed,female,Divorced,140,150,2,1,customer_call_centre,2-door_car,No
252,Takoradi,primary_plan,Doctor,Employed,male,Single,218,56,8,1,customer_call_centre,SUV,No
253,Tamale,primary_plan,College,Retired,female,Divorced,212,108,3,1,contacting_agent,SUV,Yes
254,Kumasi,extended_plan,Bachelor,Employed,male,Married,154,90,3,4,customer_call_centre,4-door_car,No
255,Cape_coast,extended_plan,High School or Below,Retired,male,Divorced,266,150,1,2,contacting_agent,SUV,Yes
256,Kumasi,extended_plan,Bachelor,Employed,female,Married,270,22,4,1,contacting_agent,SUV,No
257,Accra,primary_plan,Master,Employed,female,Married,126,77,4,2,customer_call_centre,2-door_car,No
258,Tamale,extended_plan,Bachelor,Employed,male,Married,168,9,2,3,contacting_branch_directly,4-door_car,No
259,Kumasi,primary_plan,Bachelor,Employed,female,Divorced,130,129,1,1,contacting_agent,4-door_car,No
260,Accra,primary_plan,Bachelor,Unemployed,male,Married,124,138,2,1,contacting_agent,4-door_car,No
261,Accra,primary_plan,College,Employed,female,Married,128,9,5,1,via_the_web,4-door_car,No
262,Takoradi,primary_plan,College,Medical Leave,female,Divorced,136,120,2,1,via_the_web,4-door_car,No
263,Takoradi,primary_plan,High School or Below,Employed,male,Married,134,99,4,2,contacting_agent,4-door_car,No
264,Accra,extended_plan,Bachelor,Employed,male,Married,166,73,6,1,contacting_agent,4-door_car,No
265,Kumasi,primary_plan,College,Medical Leave,male,Married,126,0,4,1,via_the_web,4-door_car,No
266,Takoradi,extended_plan,Master,Employed,female,Single,188,120,2,2,customer_call_centre,4-door_car,No
